FICO_score,class
0.447400,1.000000
0.500000,1.000000
0.236800,0.000000
0.105300,0.000000
0.421100,1.000000
0.263200,0.000000
0.184200,0.000000
0.157900,0.000000
0.763200,0.000000
0.157900,0.000000
0.394700,1.000000
0.657900,1.000000
0.473700,1.000000
0.263200,1.000000
0.105300,0.000000
0.552600,1.000000
0.657900,1.000000
0.394700,0.000000
0.657900,1.000000
0.315800,1.000000
0.447400,1.000000
0.289500,1.000000
0.763200,1.000000
0.157900,0.000000
0.789500,1.000000
0.447400,0.000000
0.815800,1.000000
0.157900,0.000000
0.473700,0.000000
0.368400,0.000000
0.105300,0.000000
0.289500,0.000000
0.421100,1.000000
0.184200,0.000000
0.342100,1.000000
0.421100,1.000000
0.631600,1.000000
0.236800,1.000000
0.131600,0.000000
0.447400,1.000000
0.105300,0.000000
0.368400,1.000000
0.105300,0.000000
0.578900,1.000000
0.157900,0.000000
0.394700,0.000000
0.421100,1.000000
0.342100,0.000000
0.842100,1.000000
0.131600,0.000000
0.578900,1.000000
0.394700,1.000000
0.342100,1.000000
0.236800,0.000000
0.157900,0.000000
0.131600,0.000000
0.500000,1.000000
0.210500,0.000000
0.210500,0.000000
0.289500,0.000000
0.131600,0.000000
0.157900,0.000000
0.184200,0.000000
0.315800,0.000000
0.210500,0.000000
0.631600,0.000000
0.236800,0.000000
0.236800,0.000000
0.184200,0.000000
0.789500,1.000000
0.184200,0.000000
0.105300,0.000000
0.105300,0.000000
0.526300,1.000000
0.552600,1.000000
0.289500,0.000000
0.131600,0.000000
0.421100,1.000000
0.263200,0.000000
0.184200,0.000000
0.552600,0.000000
0.473700,0.000000
0.210500,0.000000
0.157900,1.000000
0.421100,0.000000
0.210500,0.000000
0.210500,0.000000
0.263200,0.000000
0.289500,0.000000
0.105300,0.000000
0.315800,0.000000
0.263200,0.000000
0.131600,1.000000
0.105300,0.000000
0.473700,1.000000
0.210500,0.000000
0.157900,0.000000
0.342100,0.000000
0.631600,1.000000
0.315800,0.000000
0.184200,0.000000
0.289500,0.000000
0.289500,1.000000
0.184200,0.000000
0.210500,0.000000
0.289500,1.000000
0.131600,0.000000
0.157900,0.000000
0.342100,1.000000
0.447400,1.000000
0.605300,0.000000
0.342100,0.000000
0.289500,1.000000
0.447400,1.000000
0.315800,0.000000
0.447400,1.000000
0.736800,1.000000
0.210500,0.000000
0.210500,0.000000
0.184200,0.000000
0.368400,0.000000
0.236800,0.000000
0.710500,1.000000
0.210500,0.000000
0.342100,0.000000
0.315800,1.000000
0.342100,1.000000
0.315800,0.000000
0.157900,0.000000
0.131600,0.000000
0.500000,1.000000
0.394700,1.000000
0.447400,1.000000
0.289500,0.000000
0.473700,0.000000
0.500000,1.000000
0.210500,0.000000
0.552600,1.000000
0.578900,1.000000
0.236800,0.000000
0.210500,0.000000
0.447400,0.000000
0.157900,0.000000
0.263200,0.000000
0.315800,0.000000
0.131600,0.000000
0.263200,0.000000
0.184200,0.000000
0.342100,0.000000
0.394700,1.000000
0.394700,1.000000
0.500000,1.000000
0.552600,1.000000
0.105300,0.000000
0.131600,0.000000
0.105300,0.000000
0.394700,1.000000
0.236800,0.000000
0.473700,1.000000
0.105300,0.000000
0.684200,1.000000
0.210500,0.000000
0.289500,1.000000
0.500000,1.000000
0.263200,0.000000
0.315800,0.000000
0.394700,1.000000
0.315800,1.000000
0.315800,0.000000
0.236800,1.000000
0.342100,1.000000
0.368400,1.000000
0.657900,1.000000
0.210500,0.000000
0.236800,0.000000
0.289500,0.000000
0.368400,0.000000
0.421100,0.000000
0.236800,0.000000
0.605300,1.000000
0.157900,0.000000
0.552600,1.000000
0.157900,0.000000
0.578900,1.000000
0.105300,0.000000
0.473700,0.000000
0.342100,1.000000
0.710500,1.000000
0.447400,0.000000
0.500000,1.000000
0.815800,1.000000
0.236800,0.000000
0.342100,0.000000
0.105300,0.000000
0.526300,1.000000
0.368400,0.000000
0.236800,1.000000
0.263200,0.000000
0.184200,0.000000
0.105300,0.000000
0.473700,1.000000
0.315800,1.000000
0.421100,1.000000
0.131600,0.000000
0.263200,0.000000
0.342100,1.000000
0.578900,1.000000
0.342100,0.000000
0.421100,0.000000
0.868400,1.000000
0.236800,0.000000
0.157900,0.000000
0.526300,0.000000
0.210500,0.000000
0.447400,1.000000
0.315800,0.000000
0.131600,0.000000
0.605300,1.000000
0.131600,0.000000
0.236800,0.000000
0.578900,1.000000
0.500000,1.000000
0.526300,1.000000
0.921100,1.000000
0.289500,0.000000
0.736800,0.000000
0.289500,0.000000
0.210500,1.000000
0.157900,0.000000
0.500000,1.000000
0.657900,1.000000
0.131600,0.000000
0.263200,0.000000
0.368400,0.000000
0.000000,0.000000
0.473700,1.000000
0.526300,1.000000
0.368400,0.000000
0.447400,0.000000
0.131600,0.000000
0.447400,1.000000
0.289500,0.000000
0.289500,0.000000
0.157900,0.000000
0.631600,1.000000
0.789500,1.000000
0.210500,0.000000
0.289500,0.000000
0.473700,1.000000
0.421100,1.000000
0.131600,0.000000
0.605300,1.000000
0.105300,0.000000
0.552600,1.000000
0.105300,0.000000
0.105300,0.000000
0.631600,1.000000
0.421100,1.000000
0.131600,0.000000
0.605300,1.000000
0.894700,1.000000
0.315800,0.000000
0.657900,1.000000
0.342100,0.000000
0.263200,0.000000
0.947400,1.000000
0.184200,0.000000
0.236800,1.000000
0.236800,0.000000
0.342100,0.000000
0.157900,0.000000
0.157900,0.000000
0.315800,0.000000
0.263200,0.000000
0.184200,0.000000
0.131600,0.000000
0.210500,0.000000
0.394700,1.000000
0.368400,1.000000
0.236800,0.000000
0.342100,1.000000
0.473700,1.000000
0.473700,1.000000
0.184200,0.000000
0.131600,0.000000
0.289500,0.000000
0.315800,0.000000
0.894700,1.000000
0.000000,0.000000
0.210500,0.000000
0.710500,1.000000
0.210500,1.000000
0.210500,0.000000
0.157900,0.000000
0.184200,0.000000
0.447400,1.000000
0.105300,0.000000
0.289500,0.000000
0.157900,0.000000
0.921100,1.000000
0.473700,1.000000
0.236800,1.000000
0.342100,0.000000
0.342100,1.000000
0.394700,1.000000
0.473700,1.000000
0.289500,0.000000
0.105300,0.000000
0.368400,0.000000
0.210500,0.000000
0.342100,1.000000
0.210500,0.000000
0.710500,1.000000
0.236800,0.000000
0.605300,1.000000
0.210500,0.000000
0.210500,0.000000
0.421100,0.000000
0.552600,1.000000
0.500000,1.000000
0.236800,0.000000
0.631600,1.000000
0.236800,0.000000
0.236800,1.000000
0.447400,1.000000
0.289500,0.000000
0.289500,0.000000
0.342100,1.000000
0.710500,1.000000
0.315800,0.000000
0.263200,1.000000
0.394700,1.000000
0.131600,0.000000
0.236800,0.000000
0.263200,0.000000
0.421100,0.000000
0.526300,1.000000
0.157900,0.000000
0.236800,0.000000
0.526300,1.000000
0.315800,0.000000
0.289500,0.000000
0.184200,0.000000
0.421100,1.000000
0.105300,0.000000
0.473700,1.000000
0.131600,0.000000
0.184200,0.000000
0.315800,0.000000
0.210500,0.000000
0.473700,1.000000
0.368400,0.000000
0.263200,1.000000
0.315800,0.000000
0.578900,1.000000
0.131600,0.000000
0.105300,0.000000
0.263200,0.000000
0.157900,0.000000
0.421100,0.000000
0.289500,0.000000
0.184200,0.000000
0.394700,1.000000
0.368400,0.000000
0.105300,0.000000
0.078900,0.000000
0.315800,0.000000
0.184200,0.000000
0.605300,1.000000
0.447400,1.000000
0.157900,0.000000
0.315800,0.000000
0.684200,1.000000
0.421100,1.000000
0.578900,0.000000
0.868400,1.000000
0.210500,0.000000
0.315800,0.000000
0.368400,1.000000
0.315800,0.000000
0.289500,1.000000
0.210500,0.000000
0.552600,1.000000
0.394700,1.000000
0.368400,1.000000
0.842100,1.000000
0.236800,0.000000
0.289500,0.000000
0.184200,0.000000
0.447400,1.000000
0.105300,0.000000
0.394700,1.000000
0.210500,0.000000
0.236800,0.000000
0.236800,0.000000
0.368400,1.000000
0.105300,0.000000
0.315800,0.000000
0.394700,0.000000
0.605300,1.000000
0.342100,0.000000
0.315800,1.000000
0.289500,1.000000
0.263200,1.000000
0.447400,1.000000
0.526300,1.000000
0.131600,0.000000
0.289500,0.000000
0.578900,1.000000
0.394700,0.000000
0.421100,0.000000
0.368400,1.000000
0.394700,1.000000
0.605300,1.000000
0.526300,1.000000
0.342100,0.000000
0.736800,1.000000
0.315800,0.000000
0.342100,1.000000
0.131600,0.000000
0.605300,1.000000
0.289500,0.000000
0.184200,0.000000
0.236800,0.000000
0.210500,0.000000
0.105300,0.000000
0.157900,0.000000
0.368400,0.000000
0.342100,1.000000
0.421100,1.000000
0.447400,0.000000
0.447400,1.000000
0.315800,1.000000
0.289500,0.000000
0.315800,0.000000
0.157900,0.000000
0.315800,1.000000
0.210500,0.000000
0.447400,1.000000
0.157900,0.000000
0.210500,0.000000
0.421100,1.000000
0.315800,1.000000
0.315800,0.000000
0.263200,0.000000
0.236800,0.000000
0.263200,0.000000
0.210500,0.000000
0.157900,0.000000
0.394700,1.000000
0.552600,1.000000
0.236800,0.000000
0.210500,0.000000
0.868400,1.000000
0.894700,1.000000
0.447400,1.000000
0.157900,0.000000
0.236800,0.000000
0.526300,0.000000
0.131600,0.000000
0.868400,1.000000
0.184200,0.000000
0.210500,0.000000
0.473700,1.000000
0.210500,0.000000
0.105300,0.000000
0.210500,0.000000
0.710500,1.000000
0.789500,1.000000
0.184200,0.000000
0.526300,0.000000
0.210500,0.000000
0.394700,1.000000
0.157900,0.000000
0.631600,1.000000
0.368400,1.000000
0.342100,1.000000
0.342100,1.000000
0.157900,0.000000
0.342100,0.000000
0.289500,1.000000
0.263200,0.000000
0.578900,1.000000
0.263200,1.000000
0.447400,1.000000
0.157900,0.000000
0.210500,0.000000
0.552600,1.000000
0.473700,0.000000
0.157900,0.000000
0.342100,0.000000
0.447400,1.000000
0.605300,1.000000
0.736800,1.000000
0.473700,0.000000
0.342100,0.000000
0.131600,0.000000
0.157900,0.000000
0.500000,1.000000
0.526300,0.000000
0.263200,1.000000
0.236800,0.000000
0.342100,0.000000
0.394700,1.000000
0.631600,1.000000
0.184200,0.000000
0.394700,0.000000
0.263200,0.000000
0.289500,0.000000
0.552600,1.000000
0.552600,1.000000
0.394700,1.000000
0.105300,0.000000
0.763200,1.000000
0.315800,0.000000
0.210500,0.000000
0.289500,0.000000
0.263200,0.000000
0.421100,1.000000
0.342100,0.000000
0.315800,0.000000
0.131600,0.000000
0.289500,0.000000
0.236800,0.000000
0.368400,1.000000
0.105300,0.000000
0.131600,0.000000
0.736800,1.000000
0.394700,0.000000
0.342100,1.000000
0.184200,0.000000
0.315800,0.000000
0.421100,0.000000
0.210500,0.000000
0.210500,0.000000
0.315800,1.000000
0.289500,0.000000
0.631600,1.000000
0.184200,0.000000
0.421100,1.000000
0.500000,1.000000
0.236800,1.000000
0.710500,1.000000
0.184200,0.000000
0.578900,0.000000
0.289500,0.000000
0.605300,1.000000
0.105300,0.000000
0.368400,0.000000
0.315800,0.000000
0.500000,1.000000
0.157900,0.000000
0.921100,1.000000
0.473700,0.000000
0.394700,1.000000
0.315800,0.000000
0.263200,0.000000
0.394700,0.000000
0.236800,0.000000
0.421100,1.000000
0.815800,1.000000
0.342100,1.000000
0.131600,0.000000
0.131600,0.000000
0.131600,0.000000
0.368400,1.000000
0.263200,0.000000
0.184200,0.000000
0.447400,1.000000
0.263200,1.000000
0.289500,0.000000
0.421100,1.000000
0.263200,0.000000
0.394700,0.000000
0.342100,0.000000
0.578900,0.000000
0.131600,0.000000
0.368400,1.000000
0.552600,1.000000
0.236800,0.000000
0.184200,0.000000
0.105300,0.000000
0.078900,0.000000
0.605300,1.000000
0.368400,1.000000
0.368400,1.000000
0.552600,1.000000
0.605300,1.000000
0.210500,0.000000
0.210500,0.000000
0.157900,0.000000
0.736800,1.000000
0.394700,1.000000
0.342100,0.000000
0.368400,1.000000
0.368400,1.000000
0.368400,1.000000
0.368400,1.000000
0.578900,1.000000
0.210500,0.000000
0.342100,0.000000
0.184200,0.000000
