FICO_score,class
0.1053,0.0
0.3947,1.0
0.2368,0.0
0.4737,1.0
0.1053,0.0
0.6842,1.0
0.2105,0.0
0.2895,1.0
0.5000,1.0
0.2632,0.0
0.3158,0.0
0.3947,1.0
0.3158,1.0
0.3158,0.0
0.2368,1.0
0.3421,1.0
0.3684,1.0
0.6579,1.0
0.2105,0.0
0.2368,0.0
0.2895,0.0
0.3684,0.0
0.4211,0.0
0.2368,0.0
0.6053,1.0
0.1579,0.0
0.5526,1.0
0.1579,0.0
0.5789,1.0
0.1053,0.0
0.4737,0.0
0.3421,1.0
0.7105,1.0
0.4474,0.0
0.5000,1.0
0.8158,1.0
0.2368,0.0
0.3421,0.0
0.1053,0.0
0.5263,1.0
0.3684,0.0
0.2368,1.0
0.2632,0.0
0.1842,0.0
0.1053,0.0
0.4737,1.0
0.3158,1.0
0.4211,1.0
0.1316,0.0
0.2632,0.0
0.3421,1.0
0.5789,1.0
0.3421,0.0
0.4211,0.0
0.8684,1.0
0.2368,0.0
0.1579,0.0
0.5263,0.0
0.2105,0.0
0.4474,1.0
0.3158,0.0
0.1316,0.0
0.6053,1.0
0.1316,0.0
0.2368,0.0
0.5789,1.0
0.5000,1.0
0.5263,1.0
0.9211,1.0
0.2895,0.0
0.7368,0.0
0.2895,0.0
0.2105,1.0
0.1579,0.0
0.5000,1.0
0.6579,1.0
0.1316,0.0
0.2632,0.0
0.3684,0.0
0.0000,0.0
0.4737,1.0
0.5263,1.0
0.3684,0.0
0.4474,0.0
0.1316,0.0
0.4474,1.0
0.2895,0.0
0.2895,0.0
0.1579,0.0
0.6316,1.0
0.7895,1.0
0.2105,0.0
0.2895,0.0
0.4737,1.0
0.4211,1.0
0.1316,0.0
0.6053,1.0
0.1053,0.0
0.5526,1.0
0.1053,0.0
0.1053,0.0
0.6316,1.0
0.4211,1.0
0.1316,0.0
0.6053,1.0
0.8947,1.0
0.3158,0.0
0.6579,1.0
0.3421,0.0
0.2632,0.0
0.9474,1.0
0.1842,0.0
0.2368,1.0
0.2368,0.0
0.3421,0.0
0.1579,0.0
0.1579,0.0
0.3158,0.0
0.2632,0.0
0.1842,0.0
0.1316,0.0
0.2105,0.0
0.3947,1.0
0.3684,1.0
0.2368,0.0
0.3421,1.0
0.4737,1.0
0.4737,1.0
0.1842,0.0
0.1316,0.0
0.2895,0.0
0.3158,0.0
0.8947,1.0
0.0000,0.0
0.2105,0.0
0.7105,1.0
0.2105,1.0
0.2105,0.0
0.1579,0.0
0.1842,0.0
0.4474,1.0
0.1053,0.0
0.2895,0.0
0.1579,0.0
0.9211,1.0
0.4737,1.0
0.2368,1.0
0.3421,0.0
0.3421,1.0
0.3947,1.0
0.4737,1.0
0.2895,0.0
0.1053,0.0
0.3684,0.0
0.2105,0.0
0.3421,1.0
0.2105,0.0
0.7105,1.0
0.2368,0.0
0.6053,1.0
0.2105,0.0
0.2105,0.0
0.4211,0.0
0.5526,1.0
0.5000,1.0
0.2368,0.0
0.6316,1.0
0.2368,0.0
0.2368,1.0
0.4474,1.0
0.2895,0.0
0.2895,0.0
0.3421,1.0
0.7105,1.0
0.3158,0.0
0.2632,1.0
0.3947,1.0
0.1316,0.0
0.2368,0.0
0.2632,0.0
0.4211,0.0
0.5263,1.0
0.1579,0.0
0.2368,0.0
0.5263,1.0
0.3158,0.0
0.2895,0.0
0.1842,0.0
0.4211,1.0
0.1053,0.0
0.4737,1.0
0.1316,0.0
0.1842,0.0
0.3158,0.0
0.2105,0.0
0.4737,1.0
0.3684,0.0
0.2632,1.0
0.3158,0.0
0.5789,1.0
0.1316,0.0
0.1053,0.0
0.2632,0.0
0.1579,0.0
0.4211,0.0
0.2895,0.0
0.1842,0.0
0.3947,1.0
0.3684,0.0
0.1053,0.0
0.0789,0.0
0.3158,0.0
0.1842,0.0
0.6053,1.0
0.4474,1.0
0.1579,0.0
0.3158,0.0
0.6842,1.0
0.4211,1.0
0.5789,0.0
0.8684,1.0
0.2105,0.0
0.3158,0.0
0.3684,1.0
0.3158,0.0
0.2895,1.0
0.2105,0.0
0.5526,1.0
0.3947,1.0
0.3684,1.0
0.8421,1.0
0.2368,0.0
0.2895,0.0
0.1842,0.0
0.4474,1.0
0.1053,0.0
0.3947,1.0
0.2105,0.0
0.2368,0.0
0.2368,0.0
0.3684,1.0
0.1053,0.0
0.3158,0.0
0.3947,0.0
0.6053,1.0
0.3421,0.0
0.3158,1.0
0.2895,1.0
0.2632,1.0
0.4474,1.0
0.5263,1.0
0.1316,0.0
0.2895,0.0
0.5789,1.0
0.3947,0.0
0.4211,0.0
0.3684,1.0
0.3947,1.0
0.6053,1.0
0.5263,1.0
0.3421,0.0
0.7368,1.0
0.3158,0.0
0.3421,1.0
0.1316,0.0
0.6053,1.0
0.2895,0.0
0.1842,0.0
0.2368,0.0
0.2105,0.0
0.1053,0.0
0.1579,0.0
0.3684,0.0
0.3421,1.0
0.4211,1.0
0.4474,0.0
0.4474,1.0
0.3158,1.0
0.2895,0.0
0.3158,0.0
0.1579,0.0
0.3158,1.0
0.2105,0.0
0.4474,1.0
0.1579,0.0
0.2105,0.0
0.4211,1.0
0.3158,1.0
0.3158,0.0
0.2632,0.0
0.2368,0.0
0.2632,0.0
0.2105,0.0
0.1579,0.0
0.3947,1.0
0.5526,1.0
0.2368,0.0
0.2105,0.0
0.8684,1.0
0.8947,1.0
0.4474,1.0
0.1579,0.0
0.2368,0.0
0.5263,0.0
0.1316,0.0
0.8684,1.0
0.1842,0.0
0.2105,0.0
0.4737,1.0
0.2105,0.0
0.1053,0.0
0.2105,0.0
0.7105,1.0
0.7895,1.0
0.1842,0.0
0.5263,0.0
0.2105,0.0
0.3947,1.0
0.1579,0.0
0.6316,1.0
0.3684,1.0
0.3421,1.0
0.3421,1.0
0.1579,0.0
0.3421,0.0
0.2895,1.0
0.2632,0.0
0.5789,1.0
0.2632,1.0
0.4474,1.0
0.1579,0.0
0.2105,0.0
0.5526,1.0
0.4737,0.0
0.1579,0.0
0.3421,0.0
0.4474,1.0
0.6053,1.0
0.7368,1.0
0.4737,0.0
0.3421,0.0
0.1316,0.0
0.1579,0.0
0.5000,1.0
0.5263,0.0
0.2632,1.0
0.2368,0.0
0.3421,0.0
0.3947,1.0
0.6316,1.0
0.1842,0.0
0.3947,0.0
0.2632,0.0
0.2895,0.0
0.5526,1.0
0.5526,1.0
0.3947,1.0
0.1053,0.0
0.7632,1.0
0.3158,0.0
0.2105,0.0
0.2895,0.0
0.2632,0.0
0.4211,1.0
0.3421,0.0
0.3158,0.0
0.1316,0.0
0.2895,0.0
0.2368,0.0
0.3684,1.0
0.1053,0.0
0.1316,0.0
0.7368,1.0
0.3947,0.0
0.3421,1.0
0.1842,0.0
0.3158,0.0
0.4211,0.0
0.2105,0.0
0.2105,0.0
0.3158,1.0
0.2895,0.0
0.6316,1.0
0.1842,0.0
0.4211,1.0
0.5000,1.0
0.2368,1.0
0.7105,1.0
0.1842,0.0
0.5789,0.0
0.2895,0.0
0.6053,1.0
0.1053,0.0
0.3684,0.0
0.3158,0.0
0.5000,1.0
0.1579,0.0
0.9211,1.0
0.4737,0.0
0.3947,1.0
0.3158,0.0
0.2632,0.0
0.3947,0.0
0.2368,0.0
0.4211,1.0
0.8158,1.0
0.3421,1.0
0.1316,0.0
0.1316,0.0
0.1316,0.0
0.3684,1.0
0.2632,0.0
0.1842,0.0
0.4474,1.0
0.2632,1.0
0.2895,0.0
0.4211,1.0
0.2632,0.0
0.3947,0.0
0.3421,0.0
0.5789,0.0
0.1316,0.0
0.3684,1.0
0.5526,1.0
0.2368,0.0
0.1842,0.0
0.1053,0.0
0.0789,0.0
0.6053,1.0
0.3684,1.0
0.3684,1.0
0.5526,1.0
0.6053,1.0
0.2105,0.0
0.2105,0.0
0.1579,0.0
0.7368,1.0
0.3947,1.0
0.3421,0.0
0.3684,1.0
0.3684,1.0
0.3684,1.0
0.3684,1.0
0.5789,1.0
0.2105,0.0
0.3421,0.0
0.1842,0.0
0.5263,1.0
0.3158,1.0
0.2105,0.0
0.1053,0.0
0.3421,1.0
0.1579,0.0
0.2105,0.0
0.2632,0.0
0.3684,1.0
0.1316,0.0
0.3684,1.0
0.2105,1.0
0.3947,0.0
0.2895,0.0
0.1579,0.0
0.1316,0.0
0.2632,0.0
0.5789,0.0
0.2895,0.0
0.3421,1.0
0.1842,0.0
0.1842,0.0
0.5263,1.0
0.1842,0.0
0.2895,1.0
0.2632,0.0
0.4211,0.0
0.1316,0.0
0.8684,1.0
0.7895,1.0
0.2632,0.0
0.3947,1.0
0.2105,0.0
0.1053,0.0
0.6842,1.0
0.5000,1.0
0.2368,0.0
0.5000,1.0
0.1316,0.0
0.1842,0.0
0.5000,1.0
0.4211,1.0
0.7368,1.0
0.5000,1.0
0.2632,0.0
0.1316,0.0
0.1842,0.0
0.6053,0.0
0.1579,0.0
0.1579,0.0
0.5789,1.0
0.5526,1.0
0.3947,1.0
0.2632,0.0
0.8158,1.0
0.1316,0.0
0.1842,0.0
0.1579,0.0
0.5526,1.0
0.8684,1.0
0.5000,1.0
0.4211,0.0
0.6842,1.0
0.1579,0.0
0.5789,1.0
0.2895,0.0
0.4474,0.0
0.2105,0.0
0.4737,0.0
0.2105,0.0
0.7105,0.0
0.1316,0.0
0.1842,0.0
0.8158,1.0
0.2105,0.0
0.1316,0.0
0.5263,1.0
0.7632,1.0
0.1316,0.0
0.8421,1.0
0.6053,0.0
0.1316,0.0
0.1842,0.0
0.1579,0.0
0.1316,0.0
0.2368,0.0
0.5526,0.0
0.2895,0.0
0.2105,0.0
0.2368,0.0
0.1579,0.0
0.1842,0.0
0.1842,0.0
0.1053,0.0
0.1579,0.0
0.1316,0.0
0.6579,1.0
0.1053,0.0
0.3421,1.0
0.2368,0.0
0.2632,1.0
0.7105,1.0
0.1579,0.0
0.3421,1.0
0.2105,0.0
0.2368,0.0
0.2105,0.0
0.3421,0.0
0.4474,1.0
0.2895,0.0
0.2632,0.0
0.3684,1.0
0.4211,1.0
0.1316,0.0
0.1053,0.0
0.3158,0.0
0.1579,0.0
0.3947,1.0
0.3158,1.0
0.1316,0.0
0.2895,0.0
0.2105,0.0
0.9211,1.0
0.6053,1.0
0.3158,0.0
0.3947,0.0
0.1842,0.0
0.2368,0.0
0.2105,0.0
0.2632,1.0
0.1053,0.0
0.5789,1.0
0.8158,0.0
0.2368,1.0
0.8158,1.0
0.1316,0.0
0.4737,1.0
0.5263,0.0
0.1842,0.0
0.4211,1.0
0.3684,1.0
0.3421,1.0
0.3158,0.0
0.2632,0.0
0.3421,0.0
0.2632,1.0
0.1053,0.0
0.2895,0.0
0.1842,0.0
0.2895,1.0
0.1053,0.0
0.2632,0.0
0.1053,0.0
0.5263,1.0
0.4211,0.0
0.1579,0.0
0.3158,1.0
0.5000,1.0
0.2895,0.0
0.3421,1.0
0.1316,0.0
0.2368,0.0
0.0000,0.0
0.3158,1.0
0.6579,1.0
0.5526,1.0
0.1053,0.0
0.2632,0.0
0.4211,1.0
0.3421,1.0
0.4737,0.0
0.1842,0.0
0.1842,0.0
0.7632,1.0
0.6053,1.0
0.2368,1.0
0.5263,1.0
0.3947,0.0
0.8158,1.0
0.1842,0.0
0.5263,1.0
0.6316,0.0
0.4474,1.0
0.5789,1.0
0.8421,1.0
0.6316,1.0
0.2895,1.0
0.3158,0.0
0.2368,0.0
0.2895,0.0
0.1842,0.0
0.7632,1.0
0.1053,0.0
0.1842,0.0
0.1053,0.0
0.6579,1.0
0.2105,0.0
0.3421,0.0
0.1579,0.0
0.1579,0.0
0.3421,0.0
0.1842,0.0
0.4474,1.0
0.4737,0.0
0.1579,0.0
0.4211,1.0
0.1842,0.0
0.4474,1.0
0.3421,1.0
0.1053,0.0
0.2895,0.0
0.6579,1.0
0.2105,0.0
0.2368,0.0
0.6579,1.0
0.3684,1.0
0.2895,0.0
0.2895,0.0
0.1579,0.0
0.5526,1.0
0.3421,1.0
0.5000,1.0
0.6053,1.0
0.2632,0.0
0.1053,0.0
0.7368,1.0
0.5000,1.0
0.2105,0.0
0.3158,0.0
0.1316,0.0
0.3421,1.0
0.1842,1.0
0.2368,0.0
0.2895,1.0
0.1053,0.0
0.1053,0.0
0.2632,0.0
0.2895,0.0
0.2105,0.0
0.1053,0.0
0.8158,1.0
0.4211,1.0
0.5789,1.0
0.4737,0.0
0.3158,0.0
0.2895,0.0
0.1316,0.0
0.2632,0.0
0.1842,0.0
0.2368,0.0
0.2632,1.0
0.1316,0.0
0.5000,1.0
0.1579,0.0
0.4211,1.0
0.1579,0.0
0.3684,1.0
0.3684,0.0
0.2105,0.0
0.1842,0.0
0.1842,0.0
0.1842,0.0
0.2105,0.0
0.6316,1.0
0.4737,1.0
0.5000,0.0
0.5526,1.0
0.7105,1.0
0.5789,1.0
0.1579,0.0
0.2895,0.0
0.2368,1.0
0.1579,0.0
0.6316,1.0
0.3158,0.0
0.5000,1.0
0.3421,1.0
0.4474,1.0
0.5000,1.0
0.2105,0.0
0.1842,0.0
0.2895,0.0
0.5263,1.0
0.1579,0.0
0.2895,1.0
0.2895,0.0
0.2368,0.0
0.3158,1.0
0.2632,0.0
0.1842,0.0
0.1842,0.0
0.1316,0.0
0.2105,0.0
0.1053,0.0
0.1579,0.0
0.1053,0.0
0.1053,0.0
0.4211,1.0
0.3421,0.0
0.1579,0.0
0.4211,0.0
0.2632,0.0
0.1316,0.0
0.1316,0.0
0.2105,0.0
0.8158,1.0
0.4474,1.0
0.2895,1.0
0.6579,1.0
0.1579,0.0
0.5263,1.0
0.2895,0.0
0.3421,0.0
0.2632,0.0
0.3947,0.0
0.2895,1.0
0.1842,0.0
0.6842,1.0
0.3947,0.0
0.5526,0.0
0.1579,0.0
0.1579,0.0
0.1579,0.0
0.2895,0.0
0.4211,0.0
0.3684,1.0
0.1053,0.0
0.5789,1.0
0.7632,0.0
0.2895,0.0
0.4211,1.0
0.2895,0.0
0.4737,1.0
0.4211,1.0
0.1316,0.0
0.1053,0.0
0.4474,0.0
0.2105,0.0
0.5526,1.0
0.2105,0.0
0.3158,0.0
0.8947,1.0
0.2105,0.0
0.7368,1.0
0.1842,0.0
0.1316,0.0
0.2632,0.0
0.5789,1.0
0.7368,1.0
0.2632,0.0
0.2632,0.0
0.4474,1.0
0.3421,0.0
0.2632,0.0
0.1053,0.0
0.2632,0.0
0.3158,0.0
0.3421,1.0
0.8684,1.0
0.2105,0.0
0.4474,1.0
0.8684,1.0
0.4737,0.0
0.2895,0.0
0.1316,0.0
0.7632,1.0
0.2895,0.0
0.1579,0.0
0.4474,0.0
0.5000,1.0
0.3947,1.0
0.1053,0.0
0.2105,0.0
0.3684,1.0
0.6579,1.0
0.4474,1.0
0.3421,1.0
0.4474,1.0
0.1579,0.0
0.3684,0.0
0.3684,0.0
0.3684,0.0
0.2105,0.0
0.1316,0.0
0.5263,1.0
0.6053,1.0
0.3684,0.0
0.2895,0.0
0.7105,1.0
0.3421,0.0
0.2895,0.0
0.1842,0.0
0.2895,0.0
0.1842,0.0
0.1053,0.0
0.8421,1.0
0.5789,0.0
0.2105,0.0
0.9211,1.0
0.5526,0.0
0.3421,0.0
0.2632,0.0
0.1053,0.0
0.2632,0.0
0.3421,0.0
0.4474,1.0
0.1842,0.0
0.3684,1.0
0.1842,0.0
0.7105,1.0
0.7895,1.0
0.3684,0.0
0.5263,1.0
0.5000,1.0
0.1053,0.0
0.1053,0.0
0.4737,1.0
0.1053,0.0
0.2105,0.0
0.1579,0.0
0.2895,1.0
0.6316,1.0
0.1316,0.0
0.4211,1.0
0.1579,0.0
0.1316,0.0
0.1053,0.0
0.2632,0.0
0.5526,0.0
0.1579,0.0
0.1053,0.0
0.1842,0.0
0.3158,1.0
0.2895,1.0
0.3158,0.0
0.1842,0.0
0.3684,0.0
0.5789,1.0
0.2368,0.0
0.1316,0.0
0.2632,0.0
0.3421,0.0
0.1842,0.0
0.1053,0.0
0.5789,1.0
0.4474,1.0
0.5263,1.0
0.3947,0.0
0.2105,0.0
0.1316,0.0
0.3684,0.0
0.1316,0.0
0.6579,1.0
0.7368,1.0
0.2105,0.0
0.2632,0.0
0.3684,0.0
0.3421,0.0
0.2368,0.0
0.4211,1.0
0.3684,0.0
0.4211,1.0
0.2632,1.0
0.5000,1.0
0.2368,0.0
0.6053,1.0
0.1579,0.0
0.4737,1.0
0.3947,1.0
0.6053,1.0
0.1316,0.0
0.6842,1.0
0.2368,0.0
0.0526,0.0
0.1053,0.0
0.1842,0.0
0.1842,0.0
0.4737,1.0
0.4474,1.0
0.2105,0.0
0.6316,1.0
0.8947,1.0
0.4211,1.0
0.1842,0.0
0.2632,1.0
0.6579,1.0
0.1316,0.0
0.1053,0.0
0.2368,0.0
0.1579,0.0
0.3684,1.0
0.4211,1.0
0.3684,1.0
0.1842,0.0
0.2368,0.0
0.3421,0.0
0.5263,0.0
0.2105,0.0
0.1842,0.0
0.1579,0.0
